The table below is a cross-reference of creature animation files (BAMs) to sound clips
(WAVCs) and their tables (2DAs). A table generally exists only if more than one animation
does not share the same prefix. The Code is the hexadecimal number that designates the
animation in the creature file (CRE). The Archive is the Infinity Animations archive on
shsforums.net that contains the animations and/or sounds. If an archive isn't listed, the
animation should be in Baldur's Gate II by default.

If a 2DA does not exist, the installer assigns the sounds directly on the affected
creature files. Generally speaking, numbers after the prefix in sound files indicate
the following slots, though there are numerous exceptions.

01     BATTLE_CRY
02     SELECT
03-06  ATTACK
07-08  DAMAGE
09-10  DYING

AnimPrefix  2DA?  Code    Animation                     SndPrefix     Archive
£aa         Y     0x547a  maurezhi                      ghast/unearm  IA_Fiends_Genies
£ab         Y     0x547b  myrlochar                     t-myr         IA_Fiends_Genies
£jx         Y     0x557b  basilisk_nwn                  t-bas         IA_NWN_01_Modron
µaa         N     0x523d  dark_treant                   t-tre         IA_BGII_IWDII
µaa         N     0x5b00  ellesime_white-haired         ellesi        IA_BGII_IWDII
µab         N     0x5001  drider_female                 t-drf         IA_BGII_IWDII
µab         N     0x5b01  lagoon_creature               mist          IA_BGII_IWDII
µac         N     0x5002  drider_male                   t-drm         IA_BGII_IWDII
µac         N     0x5b02  modron_round                  t-mod         IA_NWN_01_Modron
µad         N     0x5240  half-dragon_black             t-hdr         IA_BGII_IWDII
µad         N     0x5b03  abishai_black                 t-abi         IA_PST_Abishai
µae         N     0x5241  half-dragon_red               t-hdr         IA_BGII_IWDII
µae         N     0x5b04  abishai_blue                  t-abi         IA_PST_Abishai
µaf         N     0x5242  isair                         t-isa         IA_BGII_IWDII
µaf         N     0x5b05  abishai_green                 t-abi         IA_PST_Abishai
µag         N     0x5243  madae                         t-mad         IA_BGII_IWDII
µag         N     0x5b06  abishai_red                   t-abi         IA_PST_Abishai
µah         N     0x5244  malarite                      t-mal         IA_BGII_IWDII
µah         N     0x5b07  displacer_beast               t-dis         NWN_Misc_I
µai         N     0x5245  shenrical                     t-hdr         IA_BGII_IWDII
µai         N     0x5b08  ghoul_queen                   t-ghq         IA_Fiends_Genies
µaj         N     0x5246  werebadger                    t-wba         IA_BGII_IWDII
µaj         N     0x5b09  annis                         t-hag         IA_Fiends_Genies
µak         N     0x5247  wererat                       t-wra         IA_BGII_IWDII
µak         N     0x5b0a  night_hag                     t-hag         IA_Fiends_Genies
µal         N     0x5248  yuan-ti_halfbreed             t-yhb         IA_BGII_IWDII
µal         N     0x5b0b  green_hag                     t-hag         IA_Fiends_Genies
µam         N     0x5249  abishai_white                 t-abi         IA_BGII_IWDII
µam         N     0x5b0c  sea_hag                       t-hag         IA_Fiends_Genies
µan         N     0x524a  boar_arctic                   t-boa         IA_BGII_IWDII
µan         N     0x5d4a  aasimar_female_pst            t-aas         IA_PST_Paletted
µao         N     0x500e  bugbear                       t-bug         IA_BGII_IWDII
µao         N     0x5d4b  bariaur_male_pst              t-bar         IA_PST_Paletted
µap         N     0x500f  bugbear_captain               t-bgc         IA_BGII_IWDII
µap         N     0x5d4c  townie_curst_female_pst       t-tcf         IA_PST_Paletted
µaq         N     0x5010  chimera                       t-chi         IA_BGII_IWDII
µaq         N     0x5d4d  townie_curst_male_pst         t-tcm         IA_PST_Paletted
µar         N     0x5011  elemental_water_small         t-wat         IA_BGII_IWDII
µar         N     0x5d4e  dustman_female_pst            t-dmf         IA_PST_Paletted
µas         N     0x524f  feyr                          t-fey         IA_BGII_IWDII
µas         N     0x5d4f  dustman_male_pst              t-dmm         IA_PST_Paletted
µat         N     0x5013  feyr_greater                  t-fgr         IA_BGII_IWDII
µat         N     0x5d50  ghoul_female_pst              t-ghf         IA_PST_Paletted
µau         N     0x5014  giant_fomorian                t-fom         IA_BGII_IWDII
µau         N     0x5d51  ghoul_male_pst                t-ghm         IA_PST_Paletted
µav         N     0x5252  goblin_captain                t-gbc         IA_BGII_IWDII
µav         N     0x5d52  githzerai_pst                 t-gzr         IA_PST_Paletted
µaw         N     0x5253  goblinelite_axe_iwd           t-gix         IA_BGII_IWDII
µaw         N     0x5d53  godsman_pst                   t-gdm         IA_PST_Paletted
µax         N     0x5254  goblinelite_bow_iwd           t-geb         IA_BGII_IWDII
µax         N     0x5d54  thug_large_pst                t-thl         IA_PST_Paletted
µay         N     0x5018  goblin_worgrider              t-gbw         IA_BGII_IWDII
µay         N     0x5d55  townie_lower_class_female_pst t-tcf         IA_PST_Paletted
µaz         N     0x5019  goblin_worgrider_captain      t-gcw         IA_BGII_IWDII
µaz         N     0x5d55  townie_lower_class_male_pst   t-tcm         IA_PST_Paletted
µba         N     0x5257  goblin_shaman                 t-gbs         IA_BGII_IWDII
µba         N     0x5d57  merchant_pst                  t-mrc         IA_PST_Paletted
µbb         N     0x5258  goblin_axe_iwd                t-gbx         IA_BGII_IWDII
µbb         N     0x5d58  midwife_pst                   t-mdw         IA_PST_Paletted
µbc         N     0x5259  goblin_bow_iwd                t-gbb         IA_BGII_IWDII
µbc         N     0x5d59  harlot_pst                    t-hlt         IA_PST_Paletted
µbd         N     0x525a  hook_horror                   t-hoo         IA_BGII_IWDII
µbd         N     0x5d5a  skeleton_priest_pst           t-skp         IA_PST_Paletted
µbe         N     0x525b  keg_1                         t-keg         IA_BGII_IWDII
µbe         N     0x5d5b  skeleton_worker_pst           t-skw         IA_PST_Paletted
µbf         N     0x525c  keg_2                         t-keg         IA_BGII_IWDII
µbf         N     0x5d5c  thokola_pst                   t-thk         IA_PST_Paletted
µbg         N     0x525d  keg_3                         t-keg         IA_BGII_IWDII
µbg         N     0x5d5d  thug_pst                      t-ths         IA_PST_Paletted
µbh         N     0x525e  lemure                        t-lem         IA_BGII_IWDII
µbh         N     0x5d5e  tiefling_female_pst           t-tcf         IA_PST_Paletted
µbi         N     0x525f  neo-orog_shaman               t-nos         IA_BGII_IWDII
µbi         N     0x5d5f  tiefling_male_pst             t-tmp         IA_PST_Paletted
µbj         N     0x5260  orc_shaman_undead             t-osu         IA_BGII_IWDII
µbj         N     0x5d60  townie_wizard_pst             t-twz         IA_PST_Paletted
µbk         N     0x5261  orc_axe_undead                t-oru         IA_BGII_IWDII
µbk         N     0x5d61  townie_upper_class_female_pst t-tuf         IA_PST_Paletted
µbl         N     0x5262  worg_iwd                      t-wor         IA_BGII_IWDII
